group,n,mae_form,mae_band
SG194_Al0.1_Ga0.7,1,0.005928096853392351,0.1465105177378172
SG194_Al0.2_Ga0.1,3,0.027780177091302632,0.05250588820430061
SG194_Al0.2_Ga0.3,1,0.00183898234493457,0.048012521425532695
SG194_Al0.2_Ga0.4,1,0.02442972763624965,0.5346191398658771
SG194_Al0.2_Ga0.6,1,0.007945157300016215,0.18248364284458396
SG194_Al0.2_Ga0.7,1,0.02381059294995755,0.23507320480586014
SG194_Al0.2_Ga0.8,1,0.0020873514157209727,0.07402078319586858
SG194_Al0.3_Ga0.1,2,0.01483659820017691,0.0751672523052318
SG194_Al0.3_Ga0.2,1,0.007563746074164546,0.06128811804617995
SG194_Al0.3_Ga0.3,3,0.007236176943104707,0.0790237837764554
SG194_Al0.3_Ga0.5,1,0.02083289855812903,0.015900859252504063
SG194_Al0.4_Ga0.1,1,0.010391798046102352,0.1143007108345857
SG194_Al0.4_Ga0.2,4,0.015081563741386944,0.1875525201176247
SG194_Al0.4_Ga0.3,1,0.010483707329066949,0.34570158513479643
SG194_Al0.4_Ga0.4,1,0.0008813248144377561,0.013553586021078479
SG194_Al0.4_Ga0.6,3,0.003311347561833979,0.030267643404440363
SG194_Al0.5_Ga0.0,1,0.009361837586441102,0.06013787932485992
SG194_Al0.5_Ga0.3,3,0.01704166151217006,0.20211557964079807
SG194_Al0.5_Ga0.4,2,0.014966452882040085,0.3284733180975181
SG194_Al0.5_Ga0.5,2,0.00392515506441643,0.015068365111619242
SG194_Al0.6_Ga0.4,2,0.004305303637545936,0.017122098325917712
SG194_Al0.7_Ga0.2,1,0.02623461497615004,0.34790925618290514
SG194_Al0.7_Ga0.3,1,0.0014685224174250666,0.18928756991118822
SG194_Al0.8_Ga0.1,4,0.01967380400323583,0.43654171998711944
SG194_Al0.8_Ga0.2,3,0.0027685955445251043,0.07623331080382512
SG194_Al0.9_Ga0.0,1,0.062045604298621715,0.27052928287694655
SG194_Al0.9_Ga0.1,4,0.009456364196754531,0.12255795301618033
SG194_Al1.0_Ga0.0,2,0.0024931608346449724,0.0010382494596947733
SG206_Al0.0_Ga0.0,5,0.001567279848571233,0.009318537737128851
SG206_Al0.0_Ga0.1,3,0.0032575477769477535,0.011822817322501714
SG206_Al0.0_Ga0.2,2,0.0050546435935598134,0.001201227755201817
SG206_Al0.0_Ga0.3,1,2.8538222160048865e-05,0.012763912795743515
SG206_Al0.0_Ga0.4,1,0.009188153580335492,0.002863724425805181
SG206_Al0.0_Ga0.5,4,0.003830147849118788,0.02959638730813291
SG206_Al0.0_Ga0.6,2,0.009183865461243147,0.015528727272672849
SG206_Al0.0_Ga0.8,4,0.0027184786077475258,0.03235931367210387
SG206_Al0.1_Ga0.0,4,0.012591320058372336,0.02326366468877833
SG206_Al0.1_Ga0.1,2,0.007217711125471295,0.02365774623259237
SG206_Al0.1_Ga0.2,1,0.006907043663192475,0.02058798684461083
SG206_Al0.1_Ga0.6,1,0.002781402580810416,0.12009621110517021
SG206_Al0.1_Ga0.7,2,0.014682456473300506,0.08952255950947241
SG206_Al0.1_Ga0.8,1,0.0011936098331910977,0.0623446213574379
SG206_Al0.1_Ga0.9,2,0.005856085150627938,0.03193279872712007
SG206_Al0.2_Ga0.0,3,0.005382005764193338,0.03967091549021077
SG206_Al0.2_Ga0.1,2,0.008582714091554408,0.13265407661865158
SG206_Al0.2_Ga0.2,1,0.007995424094689008,0.020219108565152855
SG206_Al0.2_Ga0.4,1,0.003975827672503235,0.0767671482214114
SG206_Al0.2_Ga0.7,1,0.003184544592212707,0.002307024714543804
SG206_Al0.3_Ga0.0,1,0.007724084619795096,0.03181460779418677
SG206_Al0.3_Ga0.1,1,0.012252049111530244,0.10274963900670286
SG206_Al0.3_Ga0.2,1,0.011214014148508589,0.029711367945946865
SG206_Al0.3_Ga0.3,1,0.006195177474099145,0.11546124423420978
SG206_Al0.3_Ga0.5,1,0.007891450758075208,0.005348999859894565
SG206_Al0.3_Ga0.7,2,0.09476192931804758,0.4773923007677088
SG206_Al0.4_Ga0.0,1,0.01759499177830573,0.0909484937814129
SG206_Al0.4_Ga0.1,1,0.007732466330613613,0.1005587494117195
SG206_Al0.4_Ga0.2,4,0.007115252521504009,0.06504653077913725
SG206_Al0.4_Ga0.3,5,0.0026819052815566955,0.06679618641722715
SG206_Al0.4_Ga0.4,1,0.0005470083477759902,0.033326365462998275
SG206_Al0.4_Ga0.6,5,0.015934691237042567,0.03175730532526018
SG206_Al0.5_Ga0.0,2,0.006967698231484548,0.06989120125641957
SG206_Al0.5_Ga0.2,1,0.003927674278611376,0.06420037150909685
SG206_Al0.5_Ga0.3,5,0.006847947514719987,0.020291524303174668
SG206_Al0.5_Ga0.4,2,0.006614645044599632,0.04244257476376023
SG206_Al0.5_Ga0.5,5,0.005293298901167582,0.08620542908538686
SG206_Al0.6_Ga0.0,2,0.0036988493841216274,0.11023732430264044
SG206_Al0.6_Ga0.2,1,0.00796181334352361,0.1252344646120207
SG206_Al0.6_Ga0.4,5,0.006273456365192729,0.05889923322408146
SG206_Al0.7_Ga0.0,1,0.0002764823848135922,0.037538451496141434
SG206_Al0.7_Ga0.1,1,0.005288306005311633,0.08359521470350151
SG206_Al0.7_Ga0.3,4,0.011935926701099081,0.06632719193130066
SG206_Al0.9_Ga0.1,1,0.0010342234401464756,0.10533718831724848
SG206_Al1.0_Ga0.0,1,0.0028367533543885715,0.014412793023198311
SG227_Al0.0_Ga0.1,3,0.035824273483143675,0.30360393654490325
SG227_Al0.0_Ga0.2,2,0.020322414291725432,0.14431352749926388
SG227_Al0.0_Ga0.3,3,0.04151141259529419,0.33098391933171994
SG227_Al0.0_Ga0.9,1,0.05126272136298918,0.013154511645494749
SG227_Al0.1_Ga0.1,1,0.033664084651270576,0.36742622937731473
SG227_Al0.1_Ga0.2,1,0.035378830973190833,0.16038313215692013
SG227_Al0.1_Ga0.6,4,0.03163116571193505,0.2795621304051591
SG227_Al0.1_Ga0.8,2,0.028737891448451777,0.3647372021021893
SG227_Al0.2_Ga0.2,1,0.008251009306316726,0.3308333952953997
SG227_Al0.2_Ga0.5,2,0.03550473051301711,0.3667791344927972
SG227_Al0.2_Ga0.6,1,0.028659744168672813,0.13500560461866074
SG227_Al0.2_Ga0.8,2,0.048449459752441866,0.3630663515092968
SG227_Al0.3_Ga0.1,1,0.013230461418741513,0.6807553451305752
SG227_Al0.3_Ga0.4,5,0.022002706041975593,0.37681871735703254
SG227_Al0.4_Ga0.2,3,0.03472873697196852,0.44231420278044925
SG227_Al0.4_Ga0.3,2,0.02260688481228712,0.06181009175314678
SG227_Al0.4_Ga0.4,1,0.149687773317275,0.45477503159229715
SG227_Al0.4_Ga0.6,4,0.04870094607132819,0.5656544484204425
SG227_Al0.5_Ga0.2,3,0.03731576358143246,0.377824922363889
SG227_Al0.5_Ga0.4,1,0.043499433542090904,0.2158286324736991
SG227_Al0.6_Ga0.0,2,0.050878333079171,0.11899830957667534
SG227_Al0.6_Ga0.1,10,0.05750198954344894,0.32155741752235917
SG227_Al0.6_Ga0.2,1,0.03111641893384698,0.07153375748922919
SG227_Al0.6_Ga0.4,2,0.009622966743243908,0.2208557572614538
SG227_Al0.7_Ga0.0,2,0.08462553555745181,0.5190923281532694
SG227_Al0.7_Ga0.1,1,0.007524794251967781,0.6752306758886775
SG227_Al0.7_Ga0.2,2,0.01121728478333231,0.20084875984224204
SG227_Al0.7_Ga0.3,1,0.02179526592953468,0.0852880697968752
SG227_Al0.8_Ga0.0,4,0.058471009973582885,0.29828476824013817
SG227_Al0.8_Ga0.1,1,0.010103041561298653,0.023243583299492165
SG227_Al0.8_Ga0.2,4,0.04888441722019862,0.17136186574967716
SG227_Al0.9_Ga0.1,5,0.04949666560145286,0.42569221865188195
SG33_Al0.0_Ga0.1,2,0.002102106021129743,0.013413031384162777
SG33_Al0.0_Ga0.5,1,0.0008184034565343334,0.010496793232445789
SG33_Al0.0_Ga0.6,4,0.006907663181033686,0.04953719875336071
SG33_Al0.0_Ga0.8,1,0.003708395563431291,0.005588629544906576
SG33_Al0.1_Ga0.0,2,0.002480578145909254,0.030139132151129178
SG33_Al0.1_Ga0.1,3,0.008099562361659263,0.08368202844523653
SG33_Al0.1_Ga0.2,1,0.01700416493616258,0.1085986976460136
SG33_Al0.1_Ga0.5,1,0.007861805758480778,0.08536065171679441
SG33_Al0.1_Ga0.8,1,0.018905498612037996,0.19339206496024497
SG33_Al0.2_Ga0.0,1,0.0013067576466404829,0.07904394538450332
SG33_Al0.2_Ga0.1,2,0.025429262497106198,0.061481313218242906
SG33_Al0.2_Ga0.2,2,0.01141982918567852,0.04934338101321578
SG33_Al0.2_Ga0.5,2,0.0073915137323161545,0.04427380022563243
SG33_Al0.2_Ga0.6,2,0.003985575643288941,0.042690310753825456
SG33_Al0.2_Ga0.7,1,0.007230133562400334,0.026194683933167262
SG33_Al0.3_Ga0.0,1,0.006765439951503305,0.06882052578087983
SG33_Al0.3_Ga0.1,2,0.01781716300391971,0.047528666450824875
SG33_Al0.3_Ga0.2,1,0.0039101273336026865,0.08716114326707691
SG33_Al0.3_Ga0.5,3,0.010045445130747907,0.09024055466432805
SG33_Al0.4_Ga0.1,1,0.010336091994948948,0.08754898807172795
SG33_Al0.4_Ga0.2,3,0.01105414386086682,0.042628426048372546
SG33_Al0.4_Ga0.3,1,0.005731190609262249,0.10872845172584356
SG33_Al0.4_Ga0.5,2,0.014374314535545302,0.06421903634499437
SG33_Al0.4_Ga0.6,4,0.0025375881089316973,0.0627258199739047
SG33_Al0.5_Ga0.1,1,0.0014413804240191452,0.0008095740073252866
SG33_Al0.5_Ga0.2,3,0.006971995844380065,0.07440313806083039
SG33_Al0.5_Ga0.3,2,0.0058055596855898645,0.1286210009509381
SG33_Al0.5_Ga0.4,2,0.009398671393674257,0.07913290651453964
SG33_Al0.6_Ga0.0,2,0.026203834808054452,0.2593232314353586
SG33_Al0.6_Ga0.1,2,0.020701607645600112,0.09819102900469412
SG33_Al0.6_Ga0.2,2,0.01785472573712764,0.02461558229593308
